Interaction_ID,Customer_ID,Interaction_Date,Channel,Team,Customer_Segment,Issue_Category,Priority,Agent_ID,Previous_Interactions,Response_Time_Min,Resolution_Time_Min,Escalated,FCR,CSAT,Resolution_Status,SLA_Breached
INT120531,CUST16125,2025-01-01 16:00:00,Email,Billing,Premium,Complaint,Medium,AG153,2,213.8,134.9,1,1,4.0,Pending,1
INT105829,CUST18907,2025-01-01 18:00:00,Chat,Tier 2 Support,Small Business,Product Inquiry,Low,AG118,0,23.4,78.3,0,1,4.0,Pending,0
INT109047,CUST15491,2025-01-01 18:00:00,Phone,Retention,Consumer,Technical Issue,Critical,AG104,2,49.2,223.6,1,0,4.0,Resolved,1
INT123041,CUST16504,2025-01-01 18:00:00,Phone,Technical Support,Premium,Refund,Critical,AG164,3,20.1,259.9,1,0,5.0,Resolved,0
INT125888,CUST16525,2025-01-01 18:00:00,Phone,Billing,Consumer,Technical Issue,Medium,AG108,0,27.4,68.2,0,0,4.0,Resolved,0
INT105439,CUST13324,2025-01-01 18:00:00,Email,Tier 1 Support,Enterprise,Billing,High,AG145,3,197.5,106.1,0,0,5.0,Resolved,1
INT122261,CUST10703,2025-01-01 19:00:00,Chat,Technical Support,Enterprise,Product Inquiry,Medium,AG104,1,41.2,140.8,0,1,5.0,Resolved,0
INT117933,CUST12246,2025-01-01 20:00:00,Email,Billing,Small Business,Product Inquiry,Low,AG120,4,200.3,69.6,0,1,4.0,Pending,0
INT119929,CUST15646,2025-01-01 20:00:00,Email,Tier 1 Support,Small Business,Delivery,Low,AG133,1,199.9,93.4,0,1,4.0,Resolved,0
INT102382,CUST15162,2025-01-01 21:00:00,Chat,Tier 2 Support,Premium,Product Inquiry,High,AG104,6,34.3,142.5,0,0,5.0,Resolved,0
INT111382,CUST15135,2025-01-01 21:00:00,Chat,Tier 2 Support,Small Business,Delivery,Medium,AG147,2,67.9,122.4,0,1,4.0,Resolved,0
INT129766,CUST14259,2025-01-01 22:00:00,Phone,Technical Support,Consumer,Cancellation,Critical,AG159,5,37.5,284.5,0,0,5.0,Resolved,1
INT111861,CUST17165,2025-01-01 22:00:00,Web,Technical Support,Consumer,Delivery,Critical,AG127,1,86.2,263.1,0,1,4.0,Resolved,1
INT103386,CUST10684,2025-01-01 22:00:00,Phone,Billing,Consumer,Billing,High,AG102,2,48.9,125.0,0,1,5.0,Resolved,0
INT118094,CUST11953,2025-01-01 22:00:00,Phone,Billing,Consumer,Refund,Medium,AG172,2,15.4,104.7,0,1,5.0,Resolved,0
INT115192,CUST13885,2025-01-01 23:00:00,Phone,Technical Support,Premium,Billing,Medium,AG154,5,33.2,139.6,0,1,5.0,Resolved,0
INT104565,CUST12729,2025-01-02 00:00:00,Email,Tier 2 Support,Small Business,Delivery,High,AG160,2,207.3,131.8,0,1,4.0,Resolved,1
INT125404,CUST11417,2025-01-02 00:00:00,Web,Tier 2 Support,Consumer,Product Inquiry,Low,AG170,0,38.6,95.6,0,1,5.0,Resolved,0
INT104935,CUST10426,2025-01-02 01:00:00,Phone,Tier 2 Support,Consumer,Product Inquiry,Medium,AG146,3,20.3,134.3,0,1,5.0,Pending,0
INT114405,CUST11285,2025-01-02 01:00:00,Email,Retention,Small Business,Refund,Medium,AG175,1,215.4,114.9,1,1,4.0,Transferred,1
INT126962,CUST15270,2025-01-02 01:00:00,Email,Tier 1 Support,Consumer,Cancellation,Medium,AG130,2,198.2,121.8,0,1,4.0,Resolved,1
INT118835,CUST11408,2025-01-02 02:00:00,Phone,Technical Support,Premium,Delivery,High,AG163,1,76.0,236.6,0,1,5.0,Resolved,1
INT108692,CUST13966,2025-01-02 02:00:00,Social Media,Tier 1 Support,Small Business,Cancellation,High,AG153,1,97.8,160.6,1,1,4.0,Resolved,1
INT123356,CUST11848,2025-01-02 03:00:00,Web,Billing,Consumer,Billing,Medium,AG103,3,57.7,74.7,0,1,5.0,Resolved,0
INT118180,CUST11916,2025-01-02 03:00:00,Chat,Technical Support,Consumer,Technical Issue,Critical,AG116,2,32.7,273.6,0,1,5.0,Resolved,1
INT125219,CUST17523,2025-01-02 03:00:00,Email,Tier 1 Support,Premium,Technical Issue,High,AG169,2,207.7,65.1,0,1,5.0,Resolved,1
INT124405,CUST15239,2025-01-02 03:00:00,Chat,Tier 1 Support,Enterprise,Product Inquiry,Medium,AG125,3,19.1,40.9,0,0,5.0,Resolved,0
INT128451,CUST11896,2025-01-02 03:00:00,Web,Retention,Premium,Cancellation,Medium,AG101,1,68.3,79.0,0,1,4.0,Resolved,0
INT110658,CUST18293,2025-01-02 04:00:00,Email,Tier 1 Support,Consumer,Refund,High,AG142,0,226.5,82.9,1,0,4.0,Resolved,1
INT111704,CUST16471,2025-01-02 04:00:00,Web,Technical Support,Enterprise,Product Inquiry,High,AG176,1,58.3,178.5,1,1,4.0,Resolved,0
INT125684,CUST16217,2025-01-02 07:00:00,Email,Billing,Consumer,Product Inquiry,Medium,AG131,5,213.9,73.1,0,1,4.0,Resolved,1
INT125813,CUST18394,2025-01-02 07:00:00,Web,Technical Support,Consumer,Technical Issue,Critical,AG126,1,160.2,307.1,1,1,3.0,Resolved,1
INT112522,CUST10751,2025-01-02 08:00:00,Web,Tier 2 Support,Premium,Complaint,Medium,AG115,2,59.2,113.6,0,1,5.0,Resolved,0
INT125112,CUST15244,2025-01-02 08:00:00,Social Media,Retention,Consumer,Product Inquiry,High,AG136,1,90.1,105.7,0,1,4.0,Resolved,1
INT117807,CUST17012,2025-01-02 09:00:00,Email,Billing,Consumer,Cancellation,Medium,AG128,7,192.6,58.5,0,1,4.0,Resolved,1
INT114860,CUST12246,2025-01-02 12:00:00,Phone,Tier 2 Support,Small Business,Cancellation,Medium,AG169,4,25.6,107.9,0,1,4.0,Resolved,0
INT127910,CUST13157,2025-01-02 12:00:00,Chat,Tier 1 Support,Enterprise,Billing,High,AG113,0,70.6,75.5,0,1,5.0,Resolved,1
INT113042,CUST15014,2025-01-02 13:00:00,Chat,Tier 1 Support,Consumer,Technical Issue,Medium,AG107,1,123.8,53.9,0,1,4.0,Resolved,1
INT121776,CUST11560,2025-01-02 13:00:00,Web,Tier 1 Support,Premium,Cancellation,Medium,AG123,7,122.1,61.6,0,0,4.0,Resolved,1
INT103337,CUST17848,2025-01-02 14:00:00,Email,Billing,Consumer,Delivery,Low,AG127,3,191.3,60.0,0,1,4.0,Resolved,0
INT120189,CUST11960,2025-01-02 14:00:00,Web,Tier 1 Support,Consumer,Billing,Medium,AG156,0,62.4,48.8,0,1,4.0,Resolved,0
INT120727,CUST18000,2025-01-02 14:00:00,Web,Technical Support,Premium,Account Access,Low,AG122,6,47.9,155.2,0,1,5.0,Resolved,0
INT102201,CUST10189,2025-01-02 14:00:00,Phone,Technical Support,Enterprise,Product Inquiry,Low,AG134,0,49.8,128.6,0,1,5.0,Resolved,0
INT114923,CUST14924,2025-01-02 15:00:00,Chat,Retention,Consumer,Refund,Medium,AG133,0,91.9,86.3,0,1,4.0,Resolved,0
INT104013,CUST18228,2025-01-02 16:00:00,Social Media,Technical Support,Consumer,Technical Issue,High,AG141,1,121.5,184.8,0,0,3.0,Resolved,1
INT122007,CUST14112,2025-01-02 16:00:00,Web,Technical Support,Consumer,Delivery,Medium,AG148,5,39.9,173.7,0,0,3.0,Resolved,0
INT127409,CUST15862,2025-01-02 17:00:00,Email,Retention,Premium,Delivery,Low,AG171,1,195.6,62.7,0,1,4.0,Resolved,0
INT124588,CUST13505,2025-01-02 18:00:00,Chat,Technical Support,Consumer,Product Inquiry,High,AG142,4,55.4,179.7,0,1,4.0,Resolved,0
INT115606,CUST10961,2025-01-02 19:00:00,Phone,Billing,Small Business,Refund,Medium,AG111,5,23.6,69.9,0,1,5.0,Resolved,0
INT129007,CUST11050,2025-01-02 20:00:00,Chat,Technical Support,Consumer,Refund,Low,AG164,4,18.8,173.4,0,1,5.0,Resolved,0
INT107214,CUST11531,2025-01-02 20:00:00,Email,Retention,Consumer,Billing,Low,AG155,2,208.5,85.8,0,1,5.0,Resolved,0
INT113094,CUST18983,2025-01-02 21:00:00,Phone,Billing,Small Business,Complaint,Critical,AG162,3,28.6,158.6,1,1,5.0,Pending,0
INT117636,CUST16142,2025-01-02 21:00:00,Phone,Tier 1 Support,Consumer,Account Access,Low,AG128,6,32.4,83.3,0,1,4.0,Resolved,0
INT117363,CUST13194,2025-01-02 21:00:00,Chat,Tier 1 Support,Enterprise,Cancellation,Low,AG154,1,28.5,63.9,0,1,5.0,Resolved,0
INT122164,CUST12371,2025-01-02 23:00:00,Chat,Tier 2 Support,Premium,Billing,Medium,AG101,2,12.4,148.5,0,1,4.0,Resolved,0
INT110037,CUST11192,2025-01-03 00:00:00,Phone,Tier 2 Support,Consumer,Refund,Low,AG115,5,22.3,107.2,0,1,5.0,Resolved,0
INT116780,CUST18664,2025-01-03 00:00:00,Web,Tier 1 Support,Consumer,Account Access,High,AG102,1,47.6,111.6,0,1,5.0,Pending,0
INT122715,CUST17415,2025-01-03 01:00:00,Phone,Billing,Consumer,Delivery,Low,AG107,3,28.3,87.2,1,1,5.0,Resolved,0
INT105436,CUST14895,2025-01-03 01:00:00,Email,Tier 2 Support,Consumer,Cancellation,Low,AG118,3,204.4,120.1,0,1,3.0,Resolved,0
INT126342,CUST12151,2025-01-03 02:00:00,Phone,Technical Support,Consumer,Complaint,Medium,AG119,2,33.7,162.6,1,1,4.0,Resolved,0
INT122857,CUST14076,2025-01-03 02:00:00,Email,Tier 1 Support,Consumer,Delivery,High,AG174,0,196.7,56.7,0,0,4.0,Resolved,1
INT123142,CUST11065,2025-01-03 02:00:00,Phone,Technical Support,Consumer,Product Inquiry,Medium,AG173,2,25.1,145.8,0,1,5.0,Resolved,0
INT125724,CUST15081,2025-01-03 03:00:00,Email,Retention,Small Business,Technical Issue,High,AG170,3,219.0,125.6,0,1,3.0,Pending,1
INT115331,CUST10351,2025-01-03 03:00:00,Social Media,Technical Support,Consumer,Delivery,Medium,AG134,2,82.6,180.8,0,1,4.0,Resolved,0
INT106471,CUST17670,2025-01-03 04:00:00,Chat,Technical Support,Small Business,Technical Issue,Low,AG104,3,41.5,121.7,0,0,4.0,Resolved,0
INT106015,CUST16474,2025-01-03 05:00:00,Email,Retention,Consumer,Delivery,High,AG123,1,197.1,128.2,0,1,5.0,Resolved,1
INT129367,CUST15300,2025-01-03 06:00:00,Chat,Tier 1 Support,Consumer,Product Inquiry,High,AG122,1,28.4,86.3,0,1,5.0,Pending,0
INT129717,CUST10431,2025-01-03 06:00:00,Phone,Technical Support,Consumer,Refund,Medium,AG112,0,49.5,154.7,0,1,4.0,Resolved,0
INT101600,CUST15440,2025-01-03 06:00:00,Chat,Technical Support,Premium,Delivery,Medium,AG180,3,18.4,138.6,0,1,5.0,Resolved,0
INT112015,CUST13442,2025-01-03 07:00:00,Phone,Tier 1 Support,Consumer,Technical Issue,Low,AG124,2,43.4,91.9,0,1,4.0,Resolved,0
INT101144,CUST14427,2025-01-03 07:00:00,Email,Tier 1 Support,Small Business,Delivery,Medium,AG157,0,250.3,99.8,1,1,3.0,Resolved,1
INT126345,CUST15809,2025-01-03 07:00:00,Phone,Tier 1 Support,Consumer,Complaint,Critical,AG161,3,39.2,82.9,1,0,4.0,Resolved,1
INT116720,CUST14060,2025-01-03 08:00:00,Phone,Tier 1 Support,Enterprise,Product Inquiry,High,AG116,0,29.1,65.7,0,0,4.0,Resolved,0
INT111845,CUST14763,2025-01-03 08:00:00,Email,Billing,Small Business,Cancellation,High,AG136,1,203.5,92.0,1,1,3.0,Resolved,1
INT116147,CUST15427,2025-01-03 08:00:00,Social Media,Technical Support,Enterprise,Product Inquiry,Medium,AG108,2,102.9,145.5,1,1,3.0,Resolved,0
INT128601,CUST10547,2025-01-03 09:00:00,Email,Retention,Consumer,Delivery,Medium,AG177,0,238.5,83.5,0,1,3.0,Resolved,1
INT111012,CUST14919,2025-01-03 10:00:00,Social Media,Tier 1 Support,Small Business,Cancellation,Low,AG120,2,82.2,100.6,0,1,4.0,Resolved,0
INT121783,CUST14227,2025-01-03 10:00:00,Chat,Technical Support,Enterprise,Technical Issue,High,AG161,1,43.2,187.0,0,1,4.0,Resolved,0
INT119394,CUST15682,2025-01-03 10:00:00,Chat,Technical Support,Premium,Billing,Low,AG151,1,29.6,119.9,0,1,5.0,Resolved,0
INT126604,CUST14247,2025-01-03 11:00:00,Web,Billing,Consumer,Product Inquiry,Medium,AG139,1,70.1,127.0,0,0,4.0,Pending,0
INT121766,CUST17530,2025-01-03 12:00:00,Email,Billing,Consumer,Account Access,High,AG111,0,223.8,118.2,0,1,3.0,Resolved,1
INT105734,CUST17750,2025-01-03 12:00:00,Chat,Technical Support,Consumer,Complaint,Medium,AG138,2,33.8,172.4,1,1,4.0,Pending,0
INT101793,CUST18263,2025-01-03 12:00:00,Phone,Technical Support,Consumer,Cancellation,Low,AG142,0,39.4,146.1,0,1,5.0,Resolved,0
INT108637,CUST14431,2025-01-03 12:00:00,Chat,Retention,Consumer,Technical Issue,Medium,AG165,2,47.0,110.3,0,1,4.0,Resolved,0
INT125408,CUST12583,2025-01-03 12:00:00,Social Media,Tier 1 Support,Consumer,Billing,Medium,AG108,2,99.0,51.5,0,1,5.0,Resolved,0
INT122266,CUST13506,2025-01-03 13:00:00,Phone,Tier 2 Support,Consumer,Technical Issue,Low,AG138,0,68.3,76.4,0,1,4.0,Resolved,0
INT119718,CUST14577,2025-01-03 13:00:00,Email,Tier 2 Support,Consumer,Account Access,High,AG113,1,205.1,143.8,0,1,4.0,Resolved,1
INT118283,CUST18149,2025-01-03 13:00:00,Email,Retention,Small Business,Account Access,Medium,AG145,1,187.2,104.4,0,0,4.0,Pending,1
INT122056,CUST18183,2025-01-03 14:00:00,Social Media,Technical Support,Enterprise,Complaint,Medium,AG140,2,102.1,121.7,0,1,4.0,Resolved,0
INT122189,CUST13292,2025-01-03 14:00:00,Email,Technical Support,Enterprise,Technical Issue,Medium,AG172,0,195.8,141.8,0,1,4.0,Resolved,1
INT105686,CUST11630,2025-01-03 14:00:00,Phone,Tier 1 Support,Premium,Product Inquiry,Low,AG151,3,16.6,62.6,0,1,5.0,Resolved,0
INT117229,CUST14135,2025-01-03 15:00:00,Phone,Tier 1 Support,Premium,Technical Issue,Medium,AG118,3,40.5,88.1,0,1,5.0,Resolved,0
INT123922,CUST12104,2025-01-03 15:00:00,Email,Technical Support,Consumer,Product Inquiry,Medium,AG172,0,213.2,168.7,0,1,4.0,Resolved,1
INT126086,CUST15086,2025-01-03 15:00:00,Email,Billing,Consumer,Delivery,Medium,AG109,2,220.4,90.9,0,1,4.0,Resolved,1
INT118244,CUST15850,2025-01-03 16:00:00,Email,Billing,Consumer,Delivery,Low,AG139,3,214.9,58.1,0,1,4.0,Resolved,0
INT124865,CUST13333,2025-01-03 16:00:00,Chat,Billing,Consumer,Cancellation,High,AG113,6,35.1,117.7,1,1,4.0,Resolved,0
INT111340,CUST17009,2025-01-03 16:00:00,Web,Tier 1 Support,Consumer,Cancellation,High,AG102,1,47.8,72.6,0,1,5.0,Resolved,0
INT121912,CUST15698,2025-01-03 16:00:00,Email,Technical Support,Premium,Refund,Medium,AG146,3,193.0,137.2,0,1,4.0,Resolved,1
INT100124,CUST12390,2025-01-03 16:00:00,Web,Tier 1 Support,Small Business,Product Inquiry,High,AG128,0,66.4,96.5,0,0,3.0,Resolved,1
INT114536,CUST14195,2025-01-03 17:00:00,Chat,Tier 1 Support,Enterprise,Product Inquiry,High,AG106,2,102.8,55.4,0,1,4.0,Resolved,1
INT118524,CUST14709,2025-01-03 17:00:00,Chat,Tier 2 Support,Consumer,Product Inquiry,Low,AG142,6,12.8,121.8,0,0,4.0,Resolved,0
INT125824,CUST11373,2025-01-03 17:00:00,Email,Retention,Consumer,Cancellation,Medium,AG152,5,197.4,75.7,0,0,3.0,Resolved,1
INT113416,CUST10360,2025-01-03 18:00:00,Chat,Billing,Consumer,Technical Issue,High,AG178,4,36.1,108.1,0,0,5.0,Pending,0
INT110165,CUST14303,2025-01-03 18:00:00,Web,Tier 1 Support,Enterprise,Complaint,High,AG140,0,60.7,55.8,0,0,5.0,Resolved,1
INT124112,CUST14707,2025-01-03 18:00:00,Phone,Technical Support,Consumer,Account Access,Medium,AG146,2,54.8,157.1,0,1,4.0,Resolved,0
INT108207,CUST16961,2025-01-03 18:00:00,Email,Tier 1 Support,Consumer,Account Access,Medium,AG156,0,243.9,78.0,1,1,4.0,Pending,1
INT106160,CUST10245,2025-01-03 19:00:00,Email,Technical Support,Consumer,Billing,Low,AG170,3,209.3,163.3,0,1,4.0,Resolved,0
INT108919,CUST14358,2025-01-03 19:00:00,Phone,Billing,Premium,Product Inquiry,Medium,AG158,3,61.7,82.3,0,0,3.0,Resolved,0
INT115245,CUST13234,2025-01-03 20:00:00,Email,Tier 1 Support,Consumer,Technical Issue,High,AG176,1,202.9,97.2,1,1,2.0,Pending,1
INT125319,CUST17009,2025-01-03 20:00:00,Chat,Technical Support,Consumer,Account Access,Medium,AG174,2,25.6,131.4,0,1,5.0,Pending,0
INT126430,CUST12007,2025-01-03 20:00:00,Chat,Tier 2 Support,Small Business,Technical Issue,High,AG179,3,64.6,150.7,0,1,4.0,Resolved,1
INT109113,CUST10713,2025-01-03 21:00:00,Phone,Tier 1 Support,Consumer,Cancellation,High,AG158,1,29.7,111.5,1,0,4.0,Transferred,0
INT128895,CUST11628,2025-01-03 21:00:00,Phone,Technical Support,Premium,Cancellation,Medium,AG173,1,36.0,173.8,0,1,5.0,Resolved,0
INT116786,CUST13582,2025-01-03 22:00:00,Chat,Retention,Consumer,Technical Issue,Medium,AG104,1,33.3,140.3,1,1,5.0,Transferred,0
INT114910,CUST13974,2025-01-03 23:00:00,Web,Tier 2 Support,Consumer,Technical Issue,Low,AG168,3,58.1,86.3,1,1,3.0,Transferred,0
INT113206,CUST18047,2025-01-03 23:00:00,Web,Retention,Consumer,Account Access,High,AG122,2,53.5,136.2,1,1,5.0,Resolved,0
INT106889,CUST11275,2025-01-03 23:00:00,Phone,Tier 1 Support,Consumer,Account Access,Low,AG130,0,16.5,67.2,0,1,5.0,Resolved,0
INT127666,CUST15478,2025-01-03 23:00:00,Chat,Billing,Consumer,Refund,Medium,AG151,4,45.1,101.8,0,1,5.0,Resolved,0
INT118179,CUST12614,2025-01-03 23:00:00,Email,Tier 2 Support,Small Business,Technical Issue,High,AG150,3,221.4,177.1,1,0,4.0,Pending,1
INT118018,CUST16525,2025-01-03 23:00:00,Email,Tier 2 Support,Consumer,Refund,Low,AG160,0,251.0,137.9,0,1,2.0,Resolved,1
INT125095,CUST14097,2025-01-04 00:00:00,Chat,Tier 2 Support,Small Business,Complaint,Low,AG132,2,22.7,84.9,1,1,4.0,Resolved,0
INT102888,CUST15279,2025-01-04 00:00:00,Phone,Tier 1 Support,Premium,Refund,High,AG167,2,27.0,79.4,0,1,4.0,Resolved,0
INT121893,CUST12022,2025-01-04 01:00:00,Email,Technical Support,Small Business,Cancellation,Low,AG124,1,215.0,176.1,1,0,4.0,Resolved,0
INT114502,CUST10378,2025-01-04 01:00:00,Email,Tier 2 Support,Consumer,Delivery,Medium,AG178,2,234.7,103.1,0,1,2.0,Resolved,1
INT110375,CUST17175,2025-01-04 02:00:00,Phone,Tier 1 Support,,Refund,Low,AG112,2,33.2,50.7,0,1,4.0,Resolved,0
INT101707,CUST11176,2025-01-04 02:00:00,Phone,Tier 2 Support,Premium,Technical Issue,Medium,AG108,0,37.3,118.2,0,1,5.0,Resolved,0
INT110713,CUST12137,2025-01-04 03:00:00,Social Media,Tier 1 Support,,Delivery,Medium,AG148,3,69.0,78.2,1,0,3.0,Pending,0
INT107141,CUST15252,2025-01-04 03:00:00,Email,Tier 1 Support,Consumer,Delivery,Medium,AG116,2,195.8,85.3,0,1,4.0,Resolved,1
INT115190,CUST11105,2025-01-04 04:00:00,Chat,Technical Support,Enterprise,Cancellation,Medium,AG119,5,37.9,182.3,1,1,5.0,Resolved,0
INT112423,CUST18068,2025-01-04 04:00:00,Phone,Technical Support,Consumer,Product Inquiry,Medium,AG146,2,37.6,155.7,0,0,5.0,Resolved,0
INT101345,CUST10479,2025-01-04 05:00:00,Email,Tier 1 Support,Enterprise,Billing,High,AG116,0,213.6,68.0,0,1,5.0,Resolved,1
INT103218,CUST18990,2025-01-04 06:00:00,Social Media,Tier 1 Support,Consumer,Delivery,Medium,AG179,4,84.7,47.4,0,1,4.0,Resolved,0
INT118201,CUST10088,2025-01-04 06:00:00,Phone,Technical Support,Consumer,Product Inquiry,Low,AG180,2,36.7,157.9,0,1,5.0,Resolved,0
INT120871,CUST11194,2025-01-04 06:00:00,Phone,Tier 1 Support,Consumer,Product Inquiry,Low,AG137,3,43.7,45.3,0,1,4.0,Resolved,0
INT110608,CUST11810,2025-01-04 06:00:00,Web,Technical Support,Premium,Refund,High,AG150,2,114.8,173.8,0,1,4.0,Resolved,1
INT117711,CUST18346,2025-01-04 07:00:00,Phone,Tier 2 Support,Consumer,Cancellation,Medium,AG176,1,43.7,121.3,0,1,4.0,Resolved,0
INT124177,CUST11287,2025-01-04 07:00:00,Web,Tier 1 Support,Consumer,Technical Issue,Low,AG136,2,47.8,40.8,0,0,3.0,Resolved,0
INT126353,CUST13983,2025-01-04 07:00:00,Email,Retention,Small Business,Product Inquiry,Medium,AG152,0,192.2,143.5,0,1,4.0,Resolved,1
INT128191,CUST14009,2025-01-04 08:00:00,Email,Tier 1 Support,Consumer,Billing,Medium,AG105,3,195.3,139.4,1,1,5.0,Resolved,1
INT113178,CUST14361,2025-01-04 08:00:00,Web,Tier 2 Support,Consumer,Technical Issue,Medium,AG111,1,81.1,146.3,0,1,4.0,Resolved,0
