Interaction_ID,Date,Agent,Issue_Type,Priority,Channel,Response_Time_Minutes,Resolution_Time_Hours,Resolution_Status,FCR,Escalated,Quality_Score,CSAT,Compliance_Score
INT-01021,2025-01-05,Agent_03,General Inquiry,Medium,WhatsApp,36.3,12.0,Escalated,Yes,Yes,82.4,5,90.0
INT-01072,2025-01-05,Agent_19,Delivery Delay,Low,Phone,79.9,18.6,Resolved,Yes,No,96.1,5,91.0
INT-01542,2025-01-05,Agent_10,Account Blocked,Low,Phone,52.2,14.4,In Progress,Yes,No,95.3,4,94.1
INT-00703,2025-01-05,Agent_10,General Inquiry,High,Phone,101.4,39.3,Resolved,Yes,No,88.9,4,99.5
INT-02431,2025-01-05,Agent_17,General Inquiry,Medium,Phone,86.3,33.6,Resolved,Yes,No,91.0,5,94.5
INT-02807,2025-01-05,Agent_09,App Crash,High,Email,141.6,44.0,Resolved,No,No,71.1,4,87.9
INT-01086,2025-01-05,Agent_06,App Crash,Critical,Chat,81.9,91.8,Resolved,Yes,No,84.0,5,91.8
INT-01541,2025-01-05,Agent_18,Product Defect,High,Phone,51.8,49.3,In Progress,Yes,No,91.1,4,99.1
INT-03523,2025-01-05,Agent_01,General Inquiry,Low,Chat,33.3,42.8,In Progress,Yes,No,88.1,4,86.5
INT-02559,2025-01-05,Agent_03,Delivery Delay,Medium,Phone,150.4,42.0,Escalated,Yes,No,76.2,4,89.9
INT-04588,2025-01-05,Agent_10,Product Defect,Medium,Phone,100.9,33.4,In Progress,Yes,No,85.7,5,97.4
INT-02560,2025-01-05,Agent_07,Delivery Delay,Low,Phone,67.7,43.3,Resolved,Yes,No,88.8,4,92.8
INT-01952,2025-01-05,Agent_08,App Crash,Low,Phone,151.8,17.3,In Progress,Yes,No,88.6,5,89.8
INT-00822,2025-01-05,Agent_14,Delivery Delay,Medium,Phone,98.4,27.3,Escalated,Yes,No,84.4,5,91.2
INT-03540,2025-01-05,Agent_07,Login Issue,Low,Email,97.3,30.6,Resolved,Yes,No,86.0,4,94.6
INT-00974,2025-01-05,Agent_18,App Crash,Medium,WhatsApp,81.0,56.9,Resolved,Yes,No,85.2,5,99.1
INT-00404,2025-01-05,Agent_06,Login Issue,Medium,Phone,108.1,32.9,Resolved,No,No,76.5,4,94.8
INT-01580,2025-01-05,Agent_17,General Inquiry,High,Chat,45.0,36.9,Resolved,Yes,No,90.7,4,100.0
INT-02037,2025-01-05,Agent_05,General Inquiry,Critical,Chat,115.9,36.5,Escalated,Yes,Yes,71.2,3,88.3
INT-02279,2025-01-05,Agent_04,General Inquiry,Low,Chat,49.0,26.2,Resolved,Yes,No,96.6,5,96.9
INT-00104,2025-01-05,Agent_13,Product Defect,Medium,Phone,207.3,37.8,In Progress,Yes,No,89.2,4,89.6
INT-00725,2025-01-06,Agent_09,Product Defect,Low,Phone,90.4,30.1,Resolved,Yes,No,87.4,4,97.2
INT-00406,2025-01-06,Agent_18,Payment Issue,Critical,Chat,90.0,51.0,Resolved,No,No,77.0,5,84.4
INT-02960,2025-01-06,Agent_06,Account Blocked,Medium,Chat,105.0,40.0,Resolved,Yes,No,80.1,4,94.3
INT-01829,2025-01-06,Agent_12,Delivery Delay,Medium,Phone,161.8,38.6,In Progress,Yes,No,82.1,4,90.5
INT-02354,2025-01-06,Agent_12,Refund Issue,Medium,Email,128.3,18.8,Resolved,No,No,78.5,4,93.8
INT-01912,2025-01-06,Agent_12,Payment Issue,Low,Email,65.8,21.3,In Progress,Yes,No,98.2,4,87.2
INT-00796,2025-01-06,Agent_01,General Inquiry,Low,Phone,110.0,5.6,Escalated,Yes,No,85.4,5,89.0
INT-03239,2025-01-06,Agent_11,Payment Issue,Critical,Phone,60.0,66.9,Escalated,No,Yes,67.3,4,83.8
INT-03244,2025-01-06,Agent_19,General Inquiry,Medium,WhatsApp,93.4,14.0,In Progress,No,No,84.6,4,97.8
INT-01540,2025-01-06,Agent_07,General Inquiry,Medium,Chat,105.6,16.5,Resolved,Yes,No,83.0,5,84.5
INT-01607,2025-01-06,Agent_07,General Inquiry,Low,Chat,48.1,7.4,In Progress,Yes,No,91.3,5,91.5
INT-04426,2025-01-06,Agent_12,Refund Issue,Critical,Phone,91.7,96.0,Resolved,No,No,66.8,5,90.3
INT-04228,2025-01-06,Agent_17,Payment Issue,High,Email,58.1,56.8,Resolved,Yes,No,81.3,4,100.0
INT-04342,2025-01-06,Agent_19,Refund Issue,Medium,Phone,93.6,71.9,In Progress,Yes,No,86.4,5,93.6
INT-03453,2025-01-06,Agent_20,Payment Issue,Low,Phone,46.1,31.3,Resolved,No,No,85.4,5,95.6
INT-00323,2025-01-06,Agent_12,Login Issue,Medium,Email,63.1,23.2,Resolved,Yes,No,87.9,4,99.5
INT-00905,2025-01-06,Agent_14,Delivery Delay,High,Chat,136.1,63.3,In Progress,Yes,No,76.0,5,93.4
INT-00932,2025-01-06,Agent_15,Refund Issue,High,WhatsApp,100.9,55.0,Escalated,Yes,Yes,76.1,4,91.7
INT-04581,2025-01-06,Agent_19,General Inquiry,Medium,WhatsApp,111.7,34.0,Resolved,Yes,No,94.1,4,93.5
INT-04714,2025-01-06,Agent_13,Refund Issue,High,Chat,72.5,32.5,Resolved,Yes,No,77.9,5,100.0
INT-01719,2025-01-06,Agent_10,Refund Issue,Medium,WhatsApp,52.8,54.4,Resolved,No,No,84.8,5,88.5
INT-03962,2025-01-06,Agent_07,Delivery Delay,Medium,Email,31.7,45.6,Resolved,Yes,No,89.3,5,94.8
INT-01436,2025-01-07,Agent_18,App Crash,Low,Email,29.8,24.6,In Progress,Yes,No,92.8,5,95.2
INT-02186,2025-01-07,Agent_05,Product Defect,Medium,Chat,52.8,46.7,Resolved,Yes,No,83.5,5,90.3
INT-01268,2025-01-07,Agent_09,Login Issue,Medium,Email,169.0,52.3,Resolved,Yes,No,80.4,4,92.2
INT-00242,2025-01-07,Agent_05,Delivery Delay,Medium,Phone,116.9,36.9,Resolved,No,No,74.1,4,92.1
INT-02448,2025-01-07,Agent_07,Account Blocked,Low,WhatsApp,42.4,61.6,Escalated,Yes,No,77.6,4,90.0
INT-01626,2025-01-07,Agent_12,Payment Issue,Low,Phone,24.7,29.4,Resolved,Yes,No,84.1,5,95.1
INT-02247,2025-01-07,Agent_20,Product Defect,Medium,Email,62.7,42.5,Resolved,Yes,No,84.0,5,96.4
INT-00592,2025-01-07,Agent_07,Delivery Delay,Critical,Phone,85.5,49.3,Resolved,Yes,No,68.5,4,96.3
INT-02469,2025-01-07,Agent_03,Refund Issue,Low,Chat,35.2,11.0,Resolved,Yes,No,81.5,4,87.0
INT-01683,2025-01-07,Agent_16,Login Issue,Low,Email,25.0,40.8,In Progress,Yes,No,95.2,4,91.7
INT-03876,2025-01-07,Agent_03,General Inquiry,Medium,WhatsApp,89.7,19.5,Resolved,Yes,No,79.9,4,87.2
INT-01266,2025-01-07,Agent_06,Refund Issue,Medium,Phone,41.4,60.4,Resolved,Yes,No,76.3,3,90.0
INT-01844,2025-01-07,Agent_11,Payment Issue,High,Phone,202.0,58.3,Resolved,Yes,No,75.9,4,91.8
INT-03809,2025-01-07,Agent_04,Delivery Delay,High,Chat,52.7,44.3,Escalated,Yes,No,78.9,5,88.0
INT-02374,2025-01-07,Agent_02,Refund Issue,Medium,Chat,143.8,39.4,Escalated,Yes,Yes,67.7,3,90.4
INT-04413,2025-01-07,Agent_10,Delivery Delay,Medium,Phone,127.7,42.9,Resolved,No,No,75.5,4,89.4
INT-00869,2025-01-07,Agent_16,Product Defect,High,Phone,82.3,44.4,Resolved,Yes,No,93.7,5,99.0
INT-02989,2025-01-07,Agent_02,Product Defect,Medium,Email,75.2,46.6,Resolved,Yes,No,71.1,4,91.2
INT-02854,2025-01-07,Agent_09,General Inquiry,Medium,Chat,82.9,39.6,Escalated,Yes,No,83.4,5,84.7
INT-03411,2025-01-07,Agent_08,App Crash,Low,Phone,108.2,19.6,Resolved,Yes,No,76.8,4,89.0
INT-04666,2025-01-07,Agent_07,Delivery Delay,Low,Chat,48.6,34.8,Resolved,No,No,76.9,4,89.1
INT-04286,2025-01-07,Agent_10,Product Defect,High,Chat,73.5,70.4,Escalated,Yes,Yes,67.4,4,98.6
INT-04998,2025-01-07,Agent_20,General Inquiry,Medium,Email,114.5,26.4,In Progress,Yes,No,99.5,5,94.2
INT-02172,2025-01-07,Agent_18,Payment Issue,High,Chat,140.1,79.5,In Progress,Yes,No,83.8,4,91.6
INT-00400,2025-01-08,Agent_15,Login Issue,Medium,Email,181.1,61.0,Resolved,No,No,77.8,4,90.3
INT-03708,2025-01-08,Agent_17,Refund Issue,Medium,Chat,32.2,83.8,Escalated,Yes,No,88.4,5,96.0
INT-00898,2025-01-08,Agent_12,General Inquiry,Low,Chat,140.9,18.5,Escalated,Yes,No,94.9,5,96.3
INT-04494,2025-01-08,Agent_06,General Inquiry,Medium,Phone,40.1,23.4,Resolved,Yes,No,77.4,4,96.2
INT-02525,2025-01-08,Agent_07,Payment Issue,High,WhatsApp,85.4,57.0,Resolved,Yes,No,76.0,4,93.9
INT-04988,2025-01-08,Agent_01,General Inquiry,Medium,Phone,84.1,47.5,Escalated,Yes,No,76.3,4,97.6
INT-02563,2025-01-08,Agent_06,General Inquiry,High,Phone,70.0,52.0,In Progress,Yes,No,88.8,5,95.2
INT-03521,2025-01-08,Agent_07,Delivery Delay,Medium,WhatsApp,107.7,60.3,Resolved,Yes,No,82.6,4,95.9
INT-02284,2025-01-08,Agent_05,App Crash,Low,Phone,37.9,31.1,Resolved,Yes,No,90.6,5,85.0
INT-02301,2025-01-08,Agent_01,Login Issue,High,Phone,61.6,28.3,Resolved,Yes,No,77.9,5,88.7
INT-01972,2025-01-08,Agent_17,Login Issue,Low,Chat,8.9,25.1,Resolved,No,No,79.5,4,91.2
INT-02537,2025-01-08,Agent_19,Delivery Delay,High,Chat,180.4,70.8,Escalated,No,Yes,59.4,3,86.4
INT-04789,2025-01-08,Agent_09,General Inquiry,Low,Phone,95.5,27.0,Resolved,Yes,No,86.5,5,93.6
INT-01412,2025-01-08,Agent_12,Account Blocked,High,Chat,63.3,48.1,Escalated,Yes,No,81.3,5,97.1
INT-02973,2025-01-08,Agent_14,Payment Issue,Medium,WhatsApp,105.3,31.9,Resolved,No,No,81.2,5,100.0
INT-01925,2025-01-08,Agent_12,Product Defect,Low,Email,56.6,83.9,Resolved,No,No,84.1,4,90.1
INT-00513,2025-01-08,Agent_12,Payment Issue,High,Chat,45.2,77.4,Resolved,Yes,No,69.7,5,98.0
INT-03000,2025-01-08,Agent_07,Delivery Delay,Medium,Phone,67.7,28.8,Resolved,Yes,No,79.2,4,90.7
INT-03888,2025-01-08,Agent_07,App Crash,High,WhatsApp,155.9,62.6,Resolved,No,No,67.3,4,92.2
INT-01242,2025-01-08,Agent_01,Login Issue,Medium,WhatsApp,39.0,65.1,Resolved,Yes,No,86.9,5,87.3
INT-03728,2025-01-08,Agent_03,Refund Issue,Critical,WhatsApp,67.2,61.8,Resolved,Yes,No,75.0,4,91.1
INT-04862,2025-01-08,Agent_12,Delivery Delay,Medium,Phone,45.1,30.9,Resolved,Yes,No,84.0,4,85.1
INT-00304,2025-01-08,Agent_01,General Inquiry,Medium,Email,90.7,15.0,Escalated,Yes,No,94.2,5,87.7
INT-00853,2025-01-08,Agent_20,Payment Issue,Medium,Phone,109.2,39.9,Resolved,Yes,No,93.9,5,90.3
INT-00676,2025-01-08,Agent_11,Payment Issue,Medium,Chat,92.7,20.5,Resolved,No,No,78.3,4,95.9
INT-00057,2025-01-08,Agent_05,Account Blocked,Medium,Phone,42.4,29.7,Resolved,Yes,No,73.5,3,95.6
INT-02030,2025-01-08,Agent_16,Login Issue,High,Phone,94.8,42.9,Resolved,Yes,No,88.2,5,92.4
INT-04008,2025-01-08,Agent_05,Account Blocked,Critical,Chat,185.5,40.8,In Progress,No,No,69.9,4,85.1
INT-04005,2025-01-08,Agent_15,Login Issue,Medium,Phone,66.1,63.8,Escalated,Yes,Yes,85.6,4,83.5
INT-03964,2025-01-08,Agent_11,Login Issue,Medium,WhatsApp,92.0,45.4,Resolved,Yes,No,93.7,5,95.2
INT-03609,2025-01-08,Agent_09,Delivery Delay,Medium,Phone,85.2,23.6,Resolved,Yes,No,85.4,5,89.5
INT-03170,2025-01-08,Agent_17,Refund Issue,Low,Chat,68.5,35.0,Escalated,Yes,No,85.0,4,94.3
INT-03808,2025-01-08,Agent_04,Product Defect,Medium,Chat,23.8,38.8,Resolved,Yes,No,71.5,4,100.0
INT-00375,2025-01-08,Agent_08,Refund Issue,Medium,Phone,79.3,19.1,Resolved,Yes,No,82.1,4,85.5
