Interaction_ID,Customer_ID,Interaction_Date,Channel,Team,Customer_Segment,Issue_Category,Priority,Agent_ID,Previous_Interactions,Response_Time_Min,Resolution_Time_Min,Escalated,FCR,CSAT,Resolution_Status,SLA_Breached,Date,Year,Month,Month_Name,Year_Month,Day_Name
INT114399,CUST12667,2025-01-01 11:00:00,Chat,Technical Support,Consumer,Refund,Low,AG128,0,18.8,123.2,0,0,4.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT107320,CUST16480,2025-01-01 11:00:00,Email,Tier 1 Support,Consumer,Complaint,High,AG118,0,212.4,48.5,0,1,4.0,Resolved,1,2025-01-01,2025,1,January,2025-01,Wednesday
INT102720,CUST15413,2025-01-01 11:00:00,Social Media,Retention,Small Business,Billing,Low,AG180,0,81.0,80.2,0,1,3.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT121224,CUST16040,2025-01-01 12:00:00,Email,Tier 2 Support,Consumer,Billing,High,AG163,3,203.3,147.7,0,1,4.0,Resolved,1,2025-01-01,2025,1,January,2025-01,Wednesday
INT112583,CUST12950,2025-01-01 12:00:00,Chat,Tier 1 Support,Consumer,Complaint,Medium,AG151,2,36.5,56.2,1,0,3.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT110775,CUST13079,2025-01-01 12:00:00,Social Media,Billing,Enterprise,Delivery,Low,AG164,1,74.3,57.7,0,1,5.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT102493,CUST10059,2025-01-01 13:00:00,Phone,Tier 2 Support,Consumer,Delivery,Low,AG139,2,27.7,88.9,0,1,4.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT129826,CUST12524,2025-01-01 14:00:00,Email,Technical Support,Consumer,Delivery,Low,AG159,2,235.4,111.3,0,0,3.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT118592,CUST12934,2025-01-01 14:00:00,Email,Tier 2 Support,Consumer,Cancellation,High,AG120,4,214.0,137.6,1,0,3.0,Pending,1,2025-01-01,2025,1,January,2025-01,Wednesday
INT116845,CUST15086,2025-01-01 15:00:00,Chat,Tier 1 Support,Consumer,Product Inquiry,High,AG165,1,44.3,120.8,1,0,4.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT116937,CUST18692,2025-01-01 15:00:00,Web,Tier 1 Support,Consumer,Product Inquiry,High,AG138,3,54.8,115.4,0,1,5.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT103193,CUST13865,2025-01-01 16:00:00,Phone,Retention,Consumer,Billing,Medium,AG143,2,73.7,85.3,1,1,4.0,Pending,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT129032,CUST14975,2025-01-01 16:00:00,Chat,Tier 2 Support,Enterprise,Refund,Medium,AG164,1,20.2,164.0,0,1,5.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT107161,CUST14995,2025-01-01 16:00:00,Phone,Technical Support,Small Business,Technical Issue,Medium,AG112,1,33.3,176.9,0,1,4.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT120531,CUST16125,2025-01-01 16:00:00,Email,Billing,Premium,Complaint,Medium,AG153,2,213.8,134.9,1,1,4.0,Pending,1,2025-01-01,2025,1,January,2025-01,Wednesday
INT105829,CUST18907,2025-01-01 18:00:00,Chat,Tier 2 Support,Small Business,Product Inquiry,Low,AG118,0,23.4,78.3,0,1,4.0,Pending,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT109047,CUST15491,2025-01-01 18:00:00,Phone,Retention,Consumer,Technical Issue,Critical,AG104,2,49.2,223.6,1,0,4.0,Resolved,1,2025-01-01,2025,1,January,2025-01,Wednesday
INT123041,CUST16504,2025-01-01 18:00:00,Phone,Technical Support,Premium,Refund,Critical,AG164,3,20.1,259.9,1,0,5.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT125888,CUST16525,2025-01-01 18:00:00,Phone,Billing,Consumer,Technical Issue,Medium,AG108,0,27.4,68.2,0,0,4.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT105439,CUST13324,2025-01-01 18:00:00,Email,Tier 1 Support,Enterprise,Billing,High,AG145,3,197.5,106.1,0,0,5.0,Resolved,1,2025-01-01,2025,1,January,2025-01,Wednesday
INT122261,CUST10703,2025-01-01 19:00:00,Chat,Technical Support,Enterprise,Product Inquiry,Medium,AG104,1,41.2,140.8,0,1,5.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT117933,CUST12246,2025-01-01 20:00:00,Email,Billing,Small Business,Product Inquiry,Low,AG120,4,200.3,69.6,0,1,4.0,Pending,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT119929,CUST15646,2025-01-01 20:00:00,Email,Tier 1 Support,Small Business,Delivery,Low,AG133,1,199.9,93.4,0,1,4.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT102382,CUST15162,2025-01-01 21:00:00,Chat,Tier 2 Support,Premium,Product Inquiry,High,AG104,6,34.3,142.5,0,0,5.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT111382,CUST15135,2025-01-01 21:00:00,Chat,Tier 2 Support,Small Business,Delivery,Medium,AG147,2,67.9,122.4,0,1,4.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT129766,CUST14259,2025-01-01 22:00:00,Phone,Technical Support,Consumer,Cancellation,Critical,AG159,5,37.5,284.5,0,0,5.0,Resolved,1,2025-01-01,2025,1,January,2025-01,Wednesday
INT111861,CUST17165,2025-01-01 22:00:00,Web,Technical Support,Consumer,Delivery,Critical,AG127,1,86.2,263.1,0,1,4.0,Resolved,1,2025-01-01,2025,1,January,2025-01,Wednesday
INT103386,CUST10684,2025-01-01 22:00:00,Phone,Billing,Consumer,Billing,High,AG102,2,48.9,125.0,0,1,5.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT118094,CUST11953,2025-01-01 22:00:00,Phone,Billing,Consumer,Refund,Medium,AG172,2,15.4,104.7,0,1,5.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT115192,CUST13885,2025-01-01 23:00:00,Phone,Technical Support,Premium,Billing,Medium,AG154,5,33.2,139.6,0,1,5.0,Resolved,0,2025-01-01,2025,1,January,2025-01,Wednesday
INT104565,CUST12729,2025-01-02 00:00:00,Email,Tier 2 Support,Small Business,Delivery,High,AG160,2,207.3,131.8,0,1,4.0,Resolved,1,2025-01-02,2025,1,January,2025-01,Thursday
INT125404,CUST11417,2025-01-02 00:00:00,Web,Tier 2 Support,Consumer,Product Inquiry,Low,AG170,0,38.6,95.6,0,1,5.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT104935,CUST10426,2025-01-02 01:00:00,Phone,Tier 2 Support,Consumer,Product Inquiry,Medium,AG146,3,20.3,134.3,0,1,5.0,Pending,0,2025-01-02,2025,1,January,2025-01,Thursday
INT114405,CUST11285,2025-01-02 01:00:00,Email,Retention,Small Business,Refund,Medium,AG175,1,215.4,114.9,1,1,4.0,Transferred,1,2025-01-02,2025,1,January,2025-01,Thursday
INT126962,CUST15270,2025-01-02 01:00:00,Email,Tier 1 Support,Consumer,Cancellation,Medium,AG130,2,198.2,121.8,0,1,4.0,Resolved,1,2025-01-02,2025,1,January,2025-01,Thursday
INT118835,CUST11408,2025-01-02 02:00:00,Phone,Technical Support,Premium,Delivery,High,AG163,1,76.0,236.6,0,1,5.0,Resolved,1,2025-01-02,2025,1,January,2025-01,Thursday
INT108692,CUST13966,2025-01-02 02:00:00,Social Media,Tier 1 Support,Small Business,Cancellation,High,AG153,1,97.8,160.6,1,1,4.0,Resolved,1,2025-01-02,2025,1,January,2025-01,Thursday
INT123356,CUST11848,2025-01-02 03:00:00,Web,Billing,Consumer,Billing,Medium,AG103,3,57.7,74.7,0,1,5.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT118180,CUST11916,2025-01-02 03:00:00,Chat,Technical Support,Consumer,Technical Issue,Critical,AG116,2,32.7,273.6,0,1,5.0,Resolved,1,2025-01-02,2025,1,January,2025-01,Thursday
INT125219,CUST17523,2025-01-02 03:00:00,Email,Tier 1 Support,Premium,Technical Issue,High,AG169,2,207.7,65.1,0,1,5.0,Resolved,1,2025-01-02,2025,1,January,2025-01,Thursday
INT124405,CUST15239,2025-01-02 03:00:00,Chat,Tier 1 Support,Enterprise,Product Inquiry,Medium,AG125,3,19.1,40.9,0,0,5.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT128451,CUST11896,2025-01-02 03:00:00,Web,Retention,Premium,Cancellation,Medium,AG101,1,68.3,79.0,0,1,4.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT110658,CUST18293,2025-01-02 04:00:00,Email,Tier 1 Support,Consumer,Refund,High,AG142,0,226.5,82.9,1,0,4.0,Resolved,1,2025-01-02,2025,1,January,2025-01,Thursday
INT111704,CUST16471,2025-01-02 04:00:00,Web,Technical Support,Enterprise,Product Inquiry,High,AG176,1,58.3,178.5,1,1,4.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT125684,CUST16217,2025-01-02 07:00:00,Email,Billing,Consumer,Product Inquiry,Medium,AG131,5,213.9,73.1,0,1,4.0,Resolved,1,2025-01-02,2025,1,January,2025-01,Thursday
INT125813,CUST18394,2025-01-02 07:00:00,Web,Technical Support,Consumer,Technical Issue,Critical,AG126,1,160.2,307.1,1,1,3.0,Resolved,1,2025-01-02,2025,1,January,2025-01,Thursday
INT112522,CUST10751,2025-01-02 08:00:00,Web,Tier 2 Support,Premium,Complaint,Medium,AG115,2,59.2,113.6,0,1,5.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT125112,CUST15244,2025-01-02 08:00:00,Social Media,Retention,Consumer,Product Inquiry,High,AG136,1,90.1,105.7,0,1,4.0,Resolved,1,2025-01-02,2025,1,January,2025-01,Thursday
INT117807,CUST17012,2025-01-02 09:00:00,Email,Billing,Consumer,Cancellation,Medium,AG128,7,192.6,58.5,0,1,4.0,Resolved,1,2025-01-02,2025,1,January,2025-01,Thursday
INT114860,CUST12246,2025-01-02 12:00:00,Phone,Tier 2 Support,Small Business,Cancellation,Medium,AG169,4,25.6,107.9,0,1,4.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT127910,CUST13157,2025-01-02 12:00:00,Chat,Tier 1 Support,Enterprise,Billing,High,AG113,0,70.6,75.5,0,1,5.0,Resolved,1,2025-01-02,2025,1,January,2025-01,Thursday
INT113042,CUST15014,2025-01-02 13:00:00,Chat,Tier 1 Support,Consumer,Technical Issue,Medium,AG107,1,123.8,53.9,0,1,4.0,Resolved,1,2025-01-02,2025,1,January,2025-01,Thursday
INT121776,CUST11560,2025-01-02 13:00:00,Web,Tier 1 Support,Premium,Cancellation,Medium,AG123,7,122.1,61.6,0,0,4.0,Resolved,1,2025-01-02,2025,1,January,2025-01,Thursday
INT103337,CUST17848,2025-01-02 14:00:00,Email,Billing,Consumer,Delivery,Low,AG127,3,191.3,60.0,0,1,4.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT120189,CUST11960,2025-01-02 14:00:00,Web,Tier 1 Support,Consumer,Billing,Medium,AG156,0,62.4,48.8,0,1,4.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT120727,CUST18000,2025-01-02 14:00:00,Web,Technical Support,Premium,Account Access,Low,AG122,6,47.9,155.2,0,1,5.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT102201,CUST10189,2025-01-02 14:00:00,Phone,Technical Support,Enterprise,Product Inquiry,Low,AG134,0,49.8,128.6,0,1,5.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT114923,CUST14924,2025-01-02 15:00:00,Chat,Retention,Consumer,Refund,Medium,AG133,0,91.9,86.3,0,1,4.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT104013,CUST18228,2025-01-02 16:00:00,Social Media,Technical Support,Consumer,Technical Issue,High,AG141,1,121.5,184.8,0,0,3.0,Resolved,1,2025-01-02,2025,1,January,2025-01,Thursday
INT122007,CUST14112,2025-01-02 16:00:00,Web,Technical Support,Consumer,Delivery,Medium,AG148,5,39.9,173.7,0,0,3.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT127409,CUST15862,2025-01-02 17:00:00,Email,Retention,Premium,Delivery,Low,AG171,1,195.6,62.7,0,1,4.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT124588,CUST13505,2025-01-02 18:00:00,Chat,Technical Support,Consumer,Product Inquiry,High,AG142,4,55.4,179.7,0,1,4.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT115606,CUST10961,2025-01-02 19:00:00,Phone,Billing,Small Business,Refund,Medium,AG111,5,23.6,69.9,0,1,5.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT129007,CUST11050,2025-01-02 20:00:00,Chat,Technical Support,Consumer,Refund,Low,AG164,4,18.8,173.4,0,1,5.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT107214,CUST11531,2025-01-02 20:00:00,Email,Retention,Consumer,Billing,Low,AG155,2,208.5,85.8,0,1,5.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT113094,CUST18983,2025-01-02 21:00:00,Phone,Billing,Small Business,Complaint,Critical,AG162,3,28.6,158.6,1,1,5.0,Pending,0,2025-01-02,2025,1,January,2025-01,Thursday
INT117636,CUST16142,2025-01-02 21:00:00,Phone,Tier 1 Support,Consumer,Account Access,Low,AG128,6,32.4,83.3,0,1,4.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT117363,CUST13194,2025-01-02 21:00:00,Chat,Tier 1 Support,Enterprise,Cancellation,Low,AG154,1,28.5,63.9,0,1,5.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT122164,CUST12371,2025-01-02 23:00:00,Chat,Tier 2 Support,Premium,Billing,Medium,AG101,2,12.4,148.5,0,1,4.0,Resolved,0,2025-01-02,2025,1,January,2025-01,Thursday
INT110037,CUST11192,2025-01-03 00:00:00,Phone,Tier 2 Support,Consumer,Refund,Low,AG115,5,22.3,107.2,0,1,5.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT116780,CUST18664,2025-01-03 00:00:00,Web,Tier 1 Support,Consumer,Account Access,High,AG102,1,47.6,111.6,0,1,5.0,Pending,0,2025-01-03,2025,1,January,2025-01,Friday
INT122715,CUST17415,2025-01-03 01:00:00,Phone,Billing,Consumer,Delivery,Low,AG107,3,28.3,87.2,1,1,5.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT105436,CUST14895,2025-01-03 01:00:00,Email,Tier 2 Support,Consumer,Cancellation,Low,AG118,3,204.4,120.1,0,1,3.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT126342,CUST12151,2025-01-03 02:00:00,Phone,Technical Support,Consumer,Complaint,Medium,AG119,2,33.7,162.6,1,1,4.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT122857,CUST14076,2025-01-03 02:00:00,Email,Tier 1 Support,Consumer,Delivery,High,AG174,0,196.7,56.7,0,0,4.0,Resolved,1,2025-01-03,2025,1,January,2025-01,Friday
INT123142,CUST11065,2025-01-03 02:00:00,Phone,Technical Support,Consumer,Product Inquiry,Medium,AG173,2,25.1,145.8,0,1,5.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT125724,CUST15081,2025-01-03 03:00:00,Email,Retention,Small Business,Technical Issue,High,AG170,3,219.0,125.6,0,1,3.0,Pending,1,2025-01-03,2025,1,January,2025-01,Friday
INT115331,CUST10351,2025-01-03 03:00:00,Social Media,Technical Support,Consumer,Delivery,Medium,AG134,2,82.6,180.8,0,1,4.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT106471,CUST17670,2025-01-03 04:00:00,Chat,Technical Support,Small Business,Technical Issue,Low,AG104,3,41.5,121.7,0,0,4.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT106015,CUST16474,2025-01-03 05:00:00,Email,Retention,Consumer,Delivery,High,AG123,1,197.1,128.2,0,1,5.0,Resolved,1,2025-01-03,2025,1,January,2025-01,Friday
INT129367,CUST15300,2025-01-03 06:00:00,Chat,Tier 1 Support,Consumer,Product Inquiry,High,AG122,1,28.4,86.3,0,1,5.0,Pending,0,2025-01-03,2025,1,January,2025-01,Friday
INT129717,CUST10431,2025-01-03 06:00:00,Phone,Technical Support,Consumer,Refund,Medium,AG112,0,49.5,154.7,0,1,4.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT101600,CUST15440,2025-01-03 06:00:00,Chat,Technical Support,Premium,Delivery,Medium,AG180,3,18.4,138.6,0,1,5.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT112015,CUST13442,2025-01-03 07:00:00,Phone,Tier 1 Support,Consumer,Technical Issue,Low,AG124,2,43.4,91.9,0,1,4.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT101144,CUST14427,2025-01-03 07:00:00,Email,Tier 1 Support,Small Business,Delivery,Medium,AG157,0,250.3,99.8,1,1,3.0,Resolved,1,2025-01-03,2025,1,January,2025-01,Friday
INT126345,CUST15809,2025-01-03 07:00:00,Phone,Tier 1 Support,Consumer,Complaint,Critical,AG161,3,39.2,82.9,1,0,4.0,Resolved,1,2025-01-03,2025,1,January,2025-01,Friday
INT116720,CUST14060,2025-01-03 08:00:00,Phone,Tier 1 Support,Enterprise,Product Inquiry,High,AG116,0,29.1,65.7,0,0,4.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT111845,CUST14763,2025-01-03 08:00:00,Email,Billing,Small Business,Cancellation,High,AG136,1,203.5,92.0,1,1,3.0,Resolved,1,2025-01-03,2025,1,January,2025-01,Friday
INT116147,CUST15427,2025-01-03 08:00:00,Social Media,Technical Support,Enterprise,Product Inquiry,Medium,AG108,2,102.9,145.5,1,1,3.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT128601,CUST10547,2025-01-03 09:00:00,Email,Retention,Consumer,Delivery,Medium,AG177,0,238.5,83.5,0,1,3.0,Resolved,1,2025-01-03,2025,1,January,2025-01,Friday
INT111012,CUST14919,2025-01-03 10:00:00,Social Media,Tier 1 Support,Small Business,Cancellation,Low,AG120,2,82.2,100.6,0,1,4.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT121783,CUST14227,2025-01-03 10:00:00,Chat,Technical Support,Enterprise,Technical Issue,High,AG161,1,43.2,187.0,0,1,4.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT119394,CUST15682,2025-01-03 10:00:00,Chat,Technical Support,Premium,Billing,Low,AG151,1,29.6,119.9,0,1,5.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT126604,CUST14247,2025-01-03 11:00:00,Web,Billing,Consumer,Product Inquiry,Medium,AG139,1,70.1,127.0,0,0,4.0,Pending,0,2025-01-03,2025,1,January,2025-01,Friday
INT121766,CUST17530,2025-01-03 12:00:00,Email,Billing,Consumer,Account Access,High,AG111,0,223.8,118.2,0,1,3.0,Resolved,1,2025-01-03,2025,1,January,2025-01,Friday
INT105734,CUST17750,2025-01-03 12:00:00,Chat,Technical Support,Consumer,Complaint,Medium,AG138,2,33.8,172.4,1,1,4.0,Pending,0,2025-01-03,2025,1,January,2025-01,Friday
INT101793,CUST18263,2025-01-03 12:00:00,Phone,Technical Support,Consumer,Cancellation,Low,AG142,0,39.4,146.1,0,1,5.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT108637,CUST14431,2025-01-03 12:00:00,Chat,Retention,Consumer,Technical Issue,Medium,AG165,2,47.0,110.3,0,1,4.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT125408,CUST12583,2025-01-03 12:00:00,Social Media,Tier 1 Support,Consumer,Billing,Medium,AG108,2,99.0,51.5,0,1,5.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT122266,CUST13506,2025-01-03 13:00:00,Phone,Tier 2 Support,Consumer,Technical Issue,Low,AG138,0,68.3,76.4,0,1,4.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT119718,CUST14577,2025-01-03 13:00:00,Email,Tier 2 Support,Consumer,Account Access,High,AG113,1,205.1,143.8,0,1,4.0,Resolved,1,2025-01-03,2025,1,January,2025-01,Friday
INT118283,CUST18149,2025-01-03 13:00:00,Email,Retention,Small Business,Account Access,Medium,AG145,1,187.2,104.4,0,0,4.0,Pending,1,2025-01-03,2025,1,January,2025-01,Friday
INT122056,CUST18183,2025-01-03 14:00:00,Social Media,Technical Support,Enterprise,Complaint,Medium,AG140,2,102.1,121.7,0,1,4.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT122189,CUST13292,2025-01-03 14:00:00,Email,Technical Support,Enterprise,Technical Issue,Medium,AG172,0,195.8,141.8,0,1,4.0,Resolved,1,2025-01-03,2025,1,January,2025-01,Friday
INT105686,CUST11630,2025-01-03 14:00:00,Phone,Tier 1 Support,Premium,Product Inquiry,Low,AG151,3,16.6,62.6,0,1,5.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT117229,CUST14135,2025-01-03 15:00:00,Phone,Tier 1 Support,Premium,Technical Issue,Medium,AG118,3,40.5,88.1,0,1,5.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT123922,CUST12104,2025-01-03 15:00:00,Email,Technical Support,Consumer,Product Inquiry,Medium,AG172,0,213.2,168.7,0,1,4.0,Resolved,1,2025-01-03,2025,1,January,2025-01,Friday
INT126086,CUST15086,2025-01-03 15:00:00,Email,Billing,Consumer,Delivery,Medium,AG109,2,220.4,90.9,0,1,4.0,Resolved,1,2025-01-03,2025,1,January,2025-01,Friday
INT118244,CUST15850,2025-01-03 16:00:00,Email,Billing,Consumer,Delivery,Low,AG139,3,214.9,58.1,0,1,4.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT124865,CUST13333,2025-01-03 16:00:00,Chat,Billing,Consumer,Cancellation,High,AG113,6,35.1,117.7,1,1,4.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
INT111340,CUST17009,2025-01-03 16:00:00,Web,Tier 1 Support,Consumer,Cancellation,High,AG102,1,47.8,72.6,0,1,5.0,Resolved,0,2025-01-03,2025,1,January,2025-01,Friday
